Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Surface) (Run 1 - Model output - P01) - 1151 points_Gas rate	
(hr) (Mscf/D)                                                                                                                                                        	
4.27200E+5 13.5731                                                                                                                                                   	
4.28736E+5 13.5103                                                                                                                                                   	
4.30272E+5 13.4478                                                                                                                                                   	
4.31808E+5 13.3857                                                                                                                                                   	
4.33344E+5 13.3241                                                                                                                                                   	
4.34880E+5 13.2629                                                                                                                                                   	
4.36416E+5 13.2020                                                                                                                                                   	
4.38000E+5 13.1397                                                                                                                                                   	
4.39536E+5 13.0796                                                                                                                                                   	
4.41072E+5 13.0199                                                                                                                                                   	
4.42608E+5 12.9606                                                                                                                                                   	
4.44144E+5 12.9017                                                                                                                                                   	
4.45680E+5 12.8432                                                                                                                                                   	
4.47216E+5 12.7850                                                                                                                                                   	
4.48752E+5 12.7272                                                                                                                                                   	
4.50288E+5 12.6698                                                                                                                                                   	
4.51824E+5 12.6128                                                                                                                                                   	
4.53360E+5 12.5561                                                                                                                                                   	
4.54896E+5 12.4997                                                                                                                                                   	
4.56432E+5 12.4438                                                                                                                                                   	
4.57968E+5 12.3882                                                                                                                                                   	
4.59504E+5 12.3329                                                                                                                                                   	
4.61040E+5 12.2780                                                                                                                                                   	
4.62576E+5 12.2234                                                                                                                                                   	
4.64112E+5 12.1692                                                                                                                                                   	
4.65648E+5 12.1153                                                                                                                                                   	
4.67184E+5 12.0617                                                                                                                                                   	
4.68720E+5 12.0084                                                                                                                                                   	
4.70256E+5 11.9555                                                                                                                                                   	
4.71792E+5 11.9029                                                                                                                                                   	
4.73328E+5 11.8507                                                                                                                                                   	
4.74864E+5 11.7988                                                                                                                                                   	
4.76400E+5 11.7472                                                                                                                                                   	
4.77936E+5 11.6959                                                                                                                                                   	
4.79472E+5 11.6449                                                                                                                                                   	
4.81008E+5 11.5943                                                                                                                                                   	
4.82544E+5 11.5439                                                                                                                                                   	
4.84080E+5 11.4939                                                                                                                                                   	
4.85616E+5 11.4441                                                                                                                                                   	
4.87152E+5 11.3947                                                                                                                                                   	
4.88688E+5 11.3456                                                                                                                                                   	
4.90224E+5 11.2967                                                                                                                                                   	
4.91760E+5 11.2482                                                                                                                                                   	
4.93296E+5 11.1999                                                                                                                                                   	
4.94832E+5 11.1519                                                                                                                                                   	
4.96368E+5 11.1042                                                                                                                                                   	
4.97904E+5 11.0569                                                                                                                                                   	
4.99440E+5 11.0098                                                                                                                                                   	
5.00976E+5 10.9630                                                                                                                                                   	
5.02512E+5 10.9164                                                                                                                                                   	
5.04048E+5 10.8702                                                                                                                                                   	
5.05584E+5 10.8242                                                                                                                                                   	
5.07120E+5 10.7784                                                                                                                                                   	
5.08656E+5 10.7330                                                                                                                                                   	
5.10192E+5 10.6878                                                                                                                                                   	
5.11728E+5 10.6429                                                                                                                                                   	
5.13264E+5 10.5982                                                                                                                                                   	
5.14800E+5 10.5538                                                                                                                                                   	
5.16336E+5 10.5097                                                                                                                                                   	
5.17872E+5 10.4658                                                                                                                                                   	
5.19408E+5 10.4222                                                                                                                                                   	
5.20944E+5 10.3789                                                                                                                                                   	
5.22480E+5 10.3358                                                                                                                                                   	
5.24016E+5 10.2929                                                                                                                                                   	
5.25600E+5 10.2490                                                                                                                                                   	
5.27136E+5 10.2066                                                                                                                                                   	
5.28672E+5 10.1645                                                                                                                                                   	
5.30208E+5 10.1226                                                                                                                                                   	
5.31744E+5 10.0810                                                                                                                                                   	
5.33280E+5 10.0396                                                                                                                                                   	
5.34816E+5 9.99849                                                                                                                                                   	
5.36352E+5 9.95758                                                                                                                                                   	
5.37888E+5 9.91691                                                                                                                                                   	
5.39424E+5 9.87647                                                                                                                                                   	
5.40960E+5 9.83626                                                                                                                                                   	
5.42496E+5 9.79627                                                                                                                                                   	
5.44032E+5 9.75651                                                                                                                                                   	
5.45568E+5 9.71697                                                                                                                                                   	
5.47104E+5 9.67765                                                                                                                                                   	
5.48640E+5 9.63857                                                                                                                                                   	
5.50176E+5 9.59971                                                                                                                                                   	
5.51712E+5 9.56107                                                                                                                                                   	
5.53248E+5 9.52265                                                                                                                                                   	
5.54784E+5 9.48445                                                                                                                                                   	
5.56320E+5 9.44644                                                                                                                                                   	
5.57856E+5 9.40865                                                                                                                                                   	
5.59392E+5 9.37107                                                                                                                                                   	
5.60928E+5 9.33370                                                                                                                                                   	
5.62464E+5 9.29654                                                                                                                                                   	
5.64000E+5 9.25958                                                                                                                                                   	
5.65536E+5 9.22284                                                                                                                                                   	
5.67072E+5 9.18630                                                                                                                                                   	
5.68608E+5 9.14995                                                                                                                                                   	
5.70144E+5 9.11382                                                                                                                                                   	
5.71680E+5 9.07788                                                                                                                                                   	
5.73216E+5 9.04213                                                                                                                                                   	
5.74752E+5 9.00658                                                                                                                                                   	
5.76288E+5 8.97123                                                                                                                                                   	
5.77824E+5 8.93607                                                                                                                                                   	
5.79360E+5 8.90110                                                                                                                                                   	
5.80896E+5 8.86633                                                                                                                                                   	
5.82432E+5 8.83175                                                                                                                                                   	
5.83968E+5 8.79736                                                                                                                                                   	
5.85504E+5 8.76316                                                                                                                                                   	
5.87040E+5 8.72914                                                                                                                                                   	
5.88576E+5 8.69530                                                                                                                                                   	
5.90112E+5 8.66163                                                                                                                                                   	
5.91648E+5 8.62814                                                                                                                                                   	
5.93184E+5 8.59483                                                                                                                                                   	
5.94720E+5 8.56171                                                                                                                                                   	
5.96256E+5 8.52877                                                                                                                                                   	
5.97792E+5 8.49600                                                                                                                                                   	
5.99328E+5 8.46341                                                                                                                                                   	
6.00864E+5 8.43100                                                                                                                                                   	
6.02400E+5 8.39876                                                                                                                                                   	
6.03936E+5 8.36670                                                                                                                                                   	
6.05472E+5 8.33480                                                                                                                                                   	
6.07008E+5 8.30308                                                                                                                                                   	
6.08544E+5 8.27152                                                                                                                                                   	
6.10080E+5 8.24013                                                                                                                                                   	
6.11616E+5 8.20891                                                                                                                                                   	
6.13200E+5 8.17688                                                                                                                                                   	
6.14736E+5 8.14598                                                                                                                                                   	
6.16272E+5 8.11525                                                                                                                                                   	
6.17808E+5 8.08468                                                                                                                                                   	
6.19344E+5 8.05427                                                                                                                                                   	
6.20880E+5 8.02401                                                                                                                                                   	
6.22416E+5 7.99391                                                                                                                                                   	
6.23952E+5 7.96397                                                                                                                                                   	
6.25488E+5 7.93419                                                                                                                                                   	
6.27024E+5 7.90457                                                                                                                                                   	
6.28560E+5 7.87511                                                                                                                                                   	
6.30096E+5 7.84580                                                                                                                                                   	
6.31632E+5 7.81663                                                                                                                                                   	
6.33168E+5 7.78762                                                                                                                                                   	
6.34704E+5 7.75875                                                                                                                                                   	
6.36240E+5 7.73003                                                                                                                                                   	
6.37776E+5 7.70145                                                                                                                                                   	
6.39312E+5 7.67303                                                                                                                                                   	
6.40848E+5 7.64475                                                                                                                                                   	
6.42384E+5 7.61661                                                                                                                                                   	
6.43920E+5 7.58862                                                                                                                                                   	
6.45456E+5 7.56078                                                                                                                                                   	
6.46992E+5 7.53308                                                                                                                                                   	
6.48528E+5 7.50552                                                                                                                                                   	
6.50064E+5 7.47810                                                                                                                                                   	
6.51600E+5 7.45082                                                                                                                                                   	
6.53136E+5 7.42368                                                                                                                                                   	
6.54672E+5 7.39668                                                                                                                                                   	
6.56208E+5 7.36980                                                                                                                                                   	
6.57744E+5 7.34306                                                                                                                                                   	
6.59280E+5 7.31646                                                                                                                                                   	
6.60816E+5 7.29000                                                                                                                                                   	
6.62352E+5 7.26367                                                                                                                                                   	
6.63888E+5 7.23747                                                                                                                                                   	
6.65424E+5 7.21140                                                                                                                                                   	
6.66960E+5 7.18546                                                                                                                                                   	
6.68496E+5 7.15966                                                                                                                                                   	
6.70032E+5 7.13398                                                                                                                                                   	
6.71568E+5 7.10842                                                                                                                                                   	
6.73104E+5 7.08300                                                                                                                                                   	
6.74640E+5 7.05770                                                                                                                                                   	
6.76176E+5 7.03253                                                                                                                                                   	
6.77712E+5 7.00748                                                                                                                                                   	
6.79248E+5 6.98255                                                                                                                                                   	
6.80784E+5 6.95775                                                                                                                                                   	
6.82320E+5 6.93306                                                                                                                                                   	
6.83856E+5 6.90850                                                                                                                                                   	
6.85392E+5 6.88407                                                                                                                                                   	
6.86928E+5 6.85976                                                                                                                                                   	
6.88464E+5 6.83557                                                                                                                                                   	
6.90000E+5 6.81149                                                                                                                                                   	
6.91536E+5 6.78753                                                                                                                                                   	
6.93072E+5 6.76369                                                                                                                                                   	
6.94608E+5 6.73996                                                                                                                                                   	
6.96144E+5 6.71634                                                                                                                                                   	
6.97680E+5 6.69284                                                                                                                                                   	
6.99216E+5 6.66946                                                                                                                                                   	
7.00800E+5 6.64546                                                                                                                                                   	
7.02336E+5 6.62230                                                                                                                                                   	
7.03872E+5 6.59925                                                                                                                                                   	
7.05408E+5 6.57632                                                                                                                                                   	
7.06944E+5 6.55350                                                                                                                                                   	
7.08480E+5 6.53079                                                                                                                                                   	
7.10016E+5 6.50819                                                                                                                                                   	
7.11552E+5 6.48569                                                                                                                                                   	
7.13088E+5 6.46331                                                                                                                                                   	
7.14624E+5 6.44103                                                                                                                                                   	
7.16160E+5 6.41886                                                                                                                                                   	
7.17696E+5 6.39679                                                                                                                                                   	
7.19232E+5 6.37484                                                                                                                                                   	
7.20768E+5 6.35298                                                                                                                                                   	
7.22304E+5 6.33124                                                                                                                                                   	
7.23840E+5 6.30959                                                                                                                                                   	
7.25376E+5 6.28805                                                                                                                                                   	
7.26912E+5 6.26661                                                                                                                                                   	
7.28448E+5 6.24527                                                                                                                                                   	
7.29984E+5 6.22402                                                                                                                                                   	
7.31520E+5 6.20287                                                                                                                                                   	
7.33056E+5 6.18182                                                                                                                                                   	
7.34592E+5 6.16087                                                                                                                                                   	
7.36128E+5 6.14002                                                                                                                                                   	
7.37664E+5 6.11926                                                                                                                                                   	
7.39200E+5 6.09861                                                                                                                                                   	
7.40736E+5 6.07806                                                                                                                                                   	
7.42272E+5 6.05760                                                                                                                                                   	
7.43808E+5 6.03724                                                                                                                                                   	
7.45344E+5 6.01698                                                                                                                                                   	
7.46880E+5 5.99680                                                                                                                                                   	
7.48416E+5 5.97673                                                                                                                                                   	
7.49952E+5 5.95674                                                                                                                                                   	
7.51488E+5 5.93685                                                                                                                                                   	
7.53024E+5 5.91706                                                                                                                                                   	
7.54560E+5 5.89735                                                                                                                                                   	
7.56096E+5 5.87774                                                                                                                                                   	
7.57632E+5 5.85821                                                                                                                                                   	
7.59168E+5 5.83877                                                                                                                                                   	
7.60704E+5 5.81942                                                                                                                                                   	
7.62240E+5 5.80015                                                                                                                                                   	
7.63776E+5 5.78098                                                                                                                                                   	
7.65312E+5 5.76188                                                                                                                                                   	
7.66848E+5 5.74289                                                                                                                                                   	
7.68384E+5 5.72397                                                                                                                                                   	
7.69920E+5 5.70515                                                                                                                                                   	
7.71456E+5 5.68641                                                                                                                                                   	
7.72992E+5 5.66776                                                                                                                                                   	
7.74528E+5 5.64918                                                                                                                                                   	
7.76064E+5 5.63070                                                                                                                                                   	
7.77600E+5 5.61230                                                                                                                                                   	
7.79136E+5 5.59398                                                                                                                                                   	
7.80672E+5 5.57575                                                                                                                                                   	
7.82208E+5 5.55760                                                                                                                                                   	
7.83744E+5 5.53953                                                                                                                                                   	
7.85280E+5 5.52154                                                                                                                                                   	
7.86816E+5 5.50362                                                                                                                                                   	
7.88400E+5 5.48524                                                                                                                                                   	
7.89936E+5 5.46748                                                                                                                                                   	
7.91472E+5 5.44981                                                                                                                                                   	
7.93008E+5 5.43222                                                                                                                                                   	
7.94544E+5 5.41472                                                                                                                                                   	
7.96080E+5 5.39728                                                                                                                                                   	
7.97616E+5 5.37993                                                                                                                                                   	
7.99152E+5 5.36266                                                                                                                                                   	
8.00688E+5 5.34546                                                                                                                                                   	
8.02224E+5 5.32834                                                                                                                                                   	
8.03760E+5 5.31129                                                                                                                                                   	
8.05296E+5 5.29432                                                                                                                                                   	
8.06832E+5 5.27742                                                                                                                                                   	
8.08368E+5 5.26059                                                                                                                                                   	
8.09904E+5 5.24385                                                                                                                                                   	
8.11440E+5 5.22716                                                                                                                                                   	
8.12976E+5 5.21056                                                                                                                                                   	
8.14512E+5 5.19404                                                                                                                                                   	
8.16048E+5 5.17758                                                                                                                                                   	
8.17584E+5 5.16120                                                                                                                                                   	
8.19120E+5 5.14489                                                                                                                                                   	
8.20656E+5 5.12865                                                                                                                                                   	
8.22192E+5 5.11247                                                                                                                                                   	
8.23728E+5 5.09638                                                                                                                                                   	
8.25264E+5 5.08035                                                                                                                                                   	
8.26800E+5 5.06439                                                                                                                                                   	
8.28336E+5 5.04850                                                                                                                                                   	
8.29872E+5 5.03268                                                                                                                                                   	
8.31408E+5 5.01692                                                                                                                                                   	
8.32944E+5 5.00124                                                                                                                                                   	
8.34480E+5 4.98562                                                                                                                                                   	
8.36016E+5 4.97007                                                                                                                                                   	
8.37552E+5 4.95458                                                                                                                                                   	
