Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Elapsed time Simulated gas rate (Bottomhole) (Run 1 - Model output - P01) - 1151 points_Gas rate downhole	
(hr) (Mcf/D)                                                                                                                                                                        	
3.73440E+5 0.991664                                                                                                                                                                 	
3.74976E+5 0.986733                                                                                                                                                                 	
3.76512E+5 0.981837                                                                                                                                                                 	
3.78048E+5 0.976976                                                                                                                                                                 	
3.79584E+5 0.972149                                                                                                                                                                 	
3.81120E+5 0.967355                                                                                                                                                                 	
3.82656E+5 0.962595                                                                                                                                                                 	
3.84192E+5 0.957868                                                                                                                                                                 	
3.85728E+5 0.953176                                                                                                                                                                 	
3.87264E+5 0.948516                                                                                                                                                                 	
3.88800E+5 0.943889                                                                                                                                                                 	
3.90336E+5 0.939293                                                                                                                                                                 	
3.91872E+5 0.934728                                                                                                                                                                 	
3.93408E+5 0.930195                                                                                                                                                                 	
3.94944E+5 0.925693                                                                                                                                                                 	
3.96480E+5 0.921222                                                                                                                                                                 	
3.98016E+5 0.916781                                                                                                                                                                 	
3.99552E+5 0.912372                                                                                                                                                                 	
4.01088E+5 0.907993                                                                                                                                                                 	
4.02624E+5 0.903644                                                                                                                                                                 	
4.04160E+5 0.899324                                                                                                                                                                 	
4.05696E+5 0.895034                                                                                                                                                                 	
4.07232E+5 0.890772                                                                                                                                                                 	
4.08768E+5 0.886538                                                                                                                                                                 	
4.10304E+5 0.882333                                                                                                                                                                 	
4.11840E+5 0.878156                                                                                                                                                                 	
4.13376E+5 0.874008                                                                                                                                                                 	
4.14912E+5 0.869888                                                                                                                                                                 	
4.16448E+5 0.865794                                                                                                                                                                 	
4.17984E+5 0.861728                                                                                                                                                                 	
4.19520E+5 0.85769                                                                                                                                                                  	
4.21056E+5 0.853678                                                                                                                                                                 	
4.22592E+5 0.849693                                                                                                                                                                 	
4.24128E+5 0.845735                                                                                                                                                                 	
4.25664E+5 0.841801                                                                                                                                                                 	
4.27200E+5 0.837892                                                                                                                                                                 	
4.28736E+5 0.83401                                                                                                                                                                  	
4.30272E+5 0.830153                                                                                                                                                                 	
4.31808E+5 0.826323                                                                                                                                                                 	
4.33344E+5 0.822518                                                                                                                                                                 	
4.34880E+5 0.818738                                                                                                                                                                 	
4.36416E+5 0.814982                                                                                                                                                                 	
4.38000E+5 0.811132                                                                                                                                                                 	
4.39536E+5 0.807424                                                                                                                                                                 	
4.41072E+5 0.803739                                                                                                                                                                 	
4.42608E+5 0.800079                                                                                                                                                                 	
4.44144E+5 0.796443                                                                                                                                                                 	
4.45680E+5 0.79283                                                                                                                                                                  	
4.47216E+5 0.78924                                                                                                                                                                  	
4.48752E+5 0.785673                                                                                                                                                                 	
4.50288E+5 0.782129                                                                                                                                                                 	
4.51824E+5 0.778607                                                                                                                                                                 	
4.53360E+5 0.775107                                                                                                                                                                 	
4.54896E+5 0.771629                                                                                                                                                                 	
4.56432E+5 0.768174                                                                                                                                                                 	
4.57968E+5 0.764741                                                                                                                                                                 	
4.59504E+5 0.761329                                                                                                                                                                 	
4.61040E+5 0.757939                                                                                                                                                                 	
4.62576E+5 0.75457                                                                                                                                                                  	
4.64112E+5 0.751222                                                                                                                                                                 	
4.65648E+5 0.747895                                                                                                                                                                 	
4.67184E+5 0.744588                                                                                                                                                                 	
4.68720E+5 0.7413                                                                                                                                                                   	
4.70256E+5 0.738034                                                                                                                                                                 	
4.71792E+5 0.734788                                                                                                                                                                 	
4.73328E+5 0.731562                                                                                                                                                                 	
4.74864E+5 0.728357                                                                                                                                                                 	
4.76400E+5 0.725172                                                                                                                                                                 	
4.77936E+5 0.722006                                                                                                                                                                 	
4.79472E+5 0.71886                                                                                                                                                                  	
4.81008E+5 0.715732                                                                                                                                                                 	
4.82544E+5 0.712624                                                                                                                                                                 	
4.84080E+5 0.709535                                                                                                                                                                 	
4.85616E+5 0.706465                                                                                                                                                                 	
4.87152E+5 0.703413                                                                                                                                                                 	
4.88688E+5 0.700379                                                                                                                                                                 	
4.90224E+5 0.697364                                                                                                                                                                 	
4.91760E+5 0.694367                                                                                                                                                                 	
4.93296E+5 0.691387                                                                                                                                                                 	
4.94832E+5 0.688426                                                                                                                                                                 	
4.96368E+5 0.685483                                                                                                                                                                 	
4.97904E+5 0.682558                                                                                                                                                                 	
4.99440E+5 0.679651                                                                                                                                                                 	
5.00976E+5 0.676761                                                                                                                                                                 	
5.02512E+5 0.673888                                                                                                                                                                 	
5.04048E+5 0.671032                                                                                                                                                                 	
5.05584E+5 0.668192                                                                                                                                                                 	
5.07120E+5 0.665369                                                                                                                                                                 	
5.08656E+5 0.662563                                                                                                                                                                 	
5.10192E+5 0.659773                                                                                                                                                                 	
5.11728E+5 0.657001                                                                                                                                                                 	
5.13264E+5 0.654244                                                                                                                                                                 	
5.14800E+5 0.651504                                                                                                                                                                 	
5.16336E+5 0.648781                                                                                                                                                                 	
5.17872E+5 0.646073                                                                                                                                                                 	
5.19408E+5 0.643381                                                                                                                                                                 	
5.20944E+5 0.640705                                                                                                                                                                 	
5.22480E+5 0.638044                                                                                                                                                                 	
5.24016E+5 0.635398                                                                                                                                                                 	
5.25600E+5 0.632685                                                                                                                                                                 	
5.27136E+5 0.630071                                                                                                                                                                 	
5.28672E+5 0.627471                                                                                                                                                                 	
5.30208E+5 0.624887                                                                                                                                                                 	
5.31744E+5 0.622317                                                                                                                                                                 	
5.33280E+5 0.619763                                                                                                                                                                 	
5.34816E+5 0.617223                                                                                                                                                                 	
5.36352E+5 0.614698                                                                                                                                                                 	
5.37888E+5 0.612187                                                                                                                                                                 	
5.39424E+5 0.60969                                                                                                                                                                  	
5.40960E+5 0.607208                                                                                                                                                                 	
5.42496E+5 0.60474                                                                                                                                                                  	
5.44032E+5 0.602285                                                                                                                                                                 	
5.45568E+5 0.599844                                                                                                                                                                 	
5.47104E+5 0.597417                                                                                                                                                                 	
5.48640E+5 0.595004                                                                                                                                                                 	
5.50176E+5 0.592605                                                                                                                                                                 	
5.51712E+5 0.59022                                                                                                                                                                  	
5.53248E+5 0.587849                                                                                                                                                                 	
5.54784E+5 0.58549                                                                                                                                                                  	
5.56320E+5 0.583144                                                                                                                                                                 	
5.57856E+5 0.580811                                                                                                                                                                 	
5.59392E+5 0.578491                                                                                                                                                                 	
5.60928E+5 0.576184                                                                                                                                                                 	
5.62464E+5 0.57389                                                                                                                                                                  	
5.64000E+5 0.571609                                                                                                                                                                 	
5.65536E+5 0.569341                                                                                                                                                                 	
5.67072E+5 0.567085                                                                                                                                                                 	
5.68608E+5 0.564841                                                                                                                                                                 	
5.70144E+5 0.56261                                                                                                                                                                  	
5.71680E+5 0.560392                                                                                                                                                                 	
5.73216E+5 0.558185                                                                                                                                                                 	
5.74752E+5 0.555991                                                                                                                                                                 	
5.76288E+5 0.553808                                                                                                                                                                 	
5.77824E+5 0.551638                                                                                                                                                                 	
5.79360E+5 0.54948                                                                                                                                                                  	
5.80896E+5 0.547333                                                                                                                                                                 	
5.82432E+5 0.545198                                                                                                                                                                 	
5.83968E+5 0.543075                                                                                                                                                                 	
5.85504E+5 0.540964                                                                                                                                                                 	
5.87040E+5 0.538864                                                                                                                                                                 	
5.88576E+5 0.536775                                                                                                                                                                 	
5.90112E+5 0.534696                                                                                                                                                                 	
5.91648E+5 0.532629                                                                                                                                                                 	
5.93184E+5 0.530573                                                                                                                                                                 	
5.94720E+5 0.528528                                                                                                                                                                 	
5.96256E+5 0.526495                                                                                                                                                                 	
5.97792E+5 0.524472                                                                                                                                                                 	
5.99328E+5 0.52246                                                                                                                                                                  	
6.00864E+5 0.520459                                                                                                                                                                 	
6.02400E+5 0.518469                                                                                                                                                                 	
6.03936E+5 0.51649                                                                                                                                                                  	
6.05472E+5 0.514521                                                                                                                                                                 	
6.07008E+5 0.512562                                                                                                                                                                 	
6.08544E+5 0.510614                                                                                                                                                                 	
6.10080E+5 0.508677                                                                                                                                                                 	
6.11616E+5 0.506749                                                                                                                                                                 	
6.13200E+5 0.504772                                                                                                                                                                 	
6.14736E+5 0.502865                                                                                                                                                                 	
6.16272E+5 0.500968                                                                                                                                                                 	
6.17808E+5 0.49908                                                                                                                                                                  	
6.19344E+5 0.497203                                                                                                                                                                 	
6.20880E+5 0.495335                                                                                                                                                                 	
6.22416E+5 0.493477                                                                                                                                                                 	
6.23952E+5 0.491629                                                                                                                                                                 	
6.25488E+5 0.48979                                                                                                                                                                  	
6.27024E+5 0.487962                                                                                                                                                                 	
6.28560E+5 0.486143                                                                                                                                                                 	
6.30096E+5 0.484334                                                                                                                                                                 	
6.31632E+5 0.482533                                                                                                                                                                 	
6.33168E+5 0.480742                                                                                                                                                                 	
6.34704E+5 0.47896                                                                                                                                                                  	
6.36240E+5 0.477187                                                                                                                                                                 	
6.37776E+5 0.475423                                                                                                                                                                 	
6.39312E+5 0.473669                                                                                                                                                                 	
6.40848E+5 0.471922                                                                                                                                                                 	
6.42384E+5 0.470186                                                                                                                                                                 	
6.43920E+5 0.468458                                                                                                                                                                 	
6.45456E+5 0.466739                                                                                                                                                                 	
6.46992E+5 0.465029                                                                                                                                                                 	
6.48528E+5 0.463328                                                                                                                                                                 	
6.50064E+5 0.461635                                                                                                                                                                 	
6.51600E+5 0.459951                                                                                                                                                                 	
6.53136E+5 0.458276                                                                                                                                                                 	
6.54672E+5 0.456609                                                                                                                                                                 	
6.56208E+5 0.454949                                                                                                                                                                 	
6.57744E+5 0.453299                                                                                                                                                                 	
6.59280E+5 0.451657                                                                                                                                                                 	
6.60816E+5 0.450023                                                                                                                                                                 	
6.62352E+5 0.448398                                                                                                                                                                 	
6.63888E+5 0.446781                                                                                                                                                                 	
6.65424E+5 0.445171                                                                                                                                                                 	
6.66960E+5 0.44357                                                                                                                                                                  	
6.68496E+5 0.441977                                                                                                                                                                 	
6.70032E+5 0.440392                                                                                                                                                                 	
6.71568E+5 0.438814                                                                                                                                                                 	
6.73104E+5 0.437245                                                                                                                                                                 	
6.74640E+5 0.435683                                                                                                                                                                 	
6.76176E+5 0.434129                                                                                                                                                                 	
6.77712E+5 0.432583                                                                                                                                                                 	
6.79248E+5 0.431044                                                                                                                                                                 	
6.80784E+5 0.429513                                                                                                                                                                 	
6.82320E+5 0.427989                                                                                                                                                                 	
6.83856E+5 0.426473                                                                                                                                                                 	
6.85392E+5 0.424965                                                                                                                                                                 	
6.86928E+5 0.423464                                                                                                                                                                 	
6.88464E+5 0.421971                                                                                                                                                                 	
6.90000E+5 0.420484                                                                                                                                                                 	
6.91536E+5 0.419005                                                                                                                                                                 	
6.93072E+5 0.417533                                                                                                                                                                 	
6.94608E+5 0.416068                                                                                                                                                                 	
6.96144E+5 0.414611                                                                                                                                                                 	
6.97680E+5 0.41316                                                                                                                                                                  	
6.99216E+5 0.411716                                                                                                                                                                 	
7.00800E+5 0.410235                                                                                                                                                                 	
7.02336E+5 0.408805                                                                                                                                                                 	
7.03872E+5 0.407382                                                                                                                                                                 	
7.05408E+5 0.405967                                                                                                                                                                 	
7.06944E+5 0.404558                                                                                                                                                                 	
7.08480E+5 0.403156                                                                                                                                                                 	
7.10016E+5 0.401761                                                                                                                                                                 	
7.11552E+5 0.400372                                                                                                                                                                 	
7.13088E+5 0.39899                                                                                                                                                                  	
7.14624E+5 0.397615                                                                                                                                                                 	
7.16160E+5 0.396246                                                                                                                                                                 	
7.17696E+5 0.394884                                                                                                                                                                 	
7.19232E+5 0.393529                                                                                                                                                                 	
7.20768E+5 0.39218                                                                                                                                                                  	
7.22304E+5 0.390837                                                                                                                                                                 	
7.23840E+5 0.389501                                                                                                                                                                 	
7.25376E+5 0.388172                                                                                                                                                                 	
7.26912E+5 0.386848                                                                                                                                                                 	
7.28448E+5 0.385531                                                                                                                                                                 	
7.29984E+5 0.384219                                                                                                                                                                 	
7.31520E+5 0.382913                                                                                                                                                                 	
7.33056E+5 0.381614                                                                                                                                                                 	
7.34592E+5 0.38032                                                                                                                                                                  	
7.36128E+5 0.379033                                                                                                                                                                 	
7.37664E+5 0.377752                                                                                                                                                                 	
7.39200E+5 0.376477                                                                                                                                                                 	
7.40736E+5 0.375208                                                                                                                                                                 	
7.42272E+5 0.373945                                                                                                                                                                 	
7.43808E+5 0.372688                                                                                                                                                                 	
7.45344E+5 0.371438                                                                                                                                                                 	
7.46880E+5 0.370192                                                                                                                                                                 	
7.48416E+5 0.368953                                                                                                                                                                 	
7.49952E+5 0.367719                                                                                                                                                                 	
